 z     x     y     pID   elem_type  elem_sequence
   7297.1730000111920       -2.4382811438603815E-003  -2.8436717394852012E-002        2229           6           3
   7297.1730000111920        2.4382811438603815E-003  -2.8436717394852012E-002        5427           6           3
   7428.5910000114045        2.8304358061511464E-002   6.7878576373498548E-003        1853           6           3
   7428.5910000114045       -2.8304358061511464E-002   6.7878576373498548E-003        5783           6           3
   8233.2090000127046        2.9936850988917654E-002   5.7898109094089165E-003        1763           6           3
   8233.2090000127046       -2.9936850988917654E-002   5.7898109094089165E-003        5873           6           3
   8771.3910000135747        2.8323717421690719E-002  -1.6594260439693315E-003         906           6           3
   8771.3910000135747       -2.8323717421690719E-002  -1.6594260439693315E-003        6832           6           3
   10020.591000015595       -5.5532016009058769E-003  -2.8581711323383309E-002        6690           6           3
   12427.083000019486        3.4188399960288535E-003   2.8609008268108495E-002         915           6           3
   14104.701000022198       -3.4479621135396072E-004  -2.8547350532331661E-002         705           6           3
   14104.701000022198        3.4479621135396072E-004  -2.8547350532331661E-002        6919           6           3
   15582.519000024588        2.8416566701200158E-002   3.5233397382670836E-003         591           6           3
   15582.519000024588       -2.8416566701200158E-002   3.5233397382670836E-003        7077           6           3
   18122.390999677347        4.7020231863533900E-004  -2.8515054366016573E-002        6755           6           3
   18491.372999603369       -4.5689225617793270E-005   2.8628008712394980E-002         851           6           3
   18491.372999603369        4.5689225617793270E-005   2.8628008712394980E-002        6777           6           3
   20676.500999165266       -2.3645737281619667E-004  -2.8426078688197187E-002        1013           6           3
   20676.500999165266        2.3645737281619667E-004  -2.8426078688197187E-002        6635           6           3
   23281.100998643062       -3.4326744528827636E-003   2.8503064924510310E-002        1250           6           3
   24168.590998465126        2.2311791007593902E-003   2.8304148831089122E-002        5958           6           3
   25936.154998110742        2.8360655902340472E-002   3.1795729797697418E-003        1277           6           3
   27446.408997807946        2.8690909057266924E-002   1.2658425689537711E-002        1945           6           3
   27446.408997807946       -2.8690909057266924E-002   1.2658425689537711E-002        5695           6           3
   27808.118997735426       -2.8331522397737199E-002   6.0066862010787385E-003         747           6           3
   31237.208997047917        2.8734807026874150E-002  -5.2688349671010338E-003         905           6           3
   31237.208997047917       -2.8734807026874150E-002  -5.2688349671010338E-003        6831           6           3
   32502.518996794231       -5.3147166619374794E-003   2.8324186583432262E-002        1289           6           3
   33994.682996495067       -2.8320384249128326E-002   9.6337110427803605E-003        1290           6           3
   34824.608996328672        2.0837085528084671E-003   2.8565774548538394E-002        5536           6           3
   36134.954996065957        1.1350942998647464E-002   2.8401681722991626E-002        2244           6           3
   36134.954996065957       -1.1350942998647464E-002   2.8401681722991626E-002        5442           6           3
   41000.408995090467        2.9109204301605487E-002  -1.0496364440059911E-002        6392           6           3
   43009.208994687717        2.9082807286016719E-002   1.1939079431638837E-003        6419           6           3
   45577.790994172734        4.6802246917687692E-003   2.8432689886642826E-002        1582           6           3
   45577.790994172734       -4.6802246917687692E-003   2.8432689886642826E-002        6046           6           3
   52696.718992745438       -6.7053436685952789E-003  -2.8492385879717783E-002        1670           6           3
   52754.408992733872        2.8996240518323259E-002   5.7557757034813369E-003        6131           6           3
   53834.408992517339        2.9419560465480672E-002  -1.2170403356041078E-003        5999           6           3
   56048.390992073451       -3.7704539285619435E-003  -2.8579351403797745E-002         362           6           3
   56048.390992073451        3.7704539285619435E-003  -2.8579351403797745E-002        7342           6           3
   62339.336990812160        6.6986641461218143E-003  -2.8344538099830167E-002         570           6           3
   62339.336990812160       -6.6986641461218143E-003  -2.8344538099830167E-002        7056           6           3
   73285.208994882356       -1.1362803215585185E-002  -2.8869803558746677E-002        2061           6           3
   73285.208994882356        1.1362803215585185E-002  -2.8869803558746677E-002        5629           6           3
   74887.172995856265        2.8468418138043679E-002   1.6402224856517341E-003         480           6           3
   74887.172995856265       -2.8468418138043679E-002   1.6402224856517341E-003        7222           6           3
   76246.172996682464       -2.8535685296857297E-002  -1.3121798116411773E-002        2131           6           3
   76312.754996722942       -2.6822517494668702E-003   2.8439429625475410E-002        1236           6           3
   81729.009000015736        2.9185718073675388E-002  -1.5159446232559685E-002        1975           6           3
   81729.009000015736       -2.9185718073675388E-002  -1.5159446232559685E-002        5725           6           3
   82070.919000223599        2.8436171572371591E-002  -6.1715453044085375E-004        1973           6           3
   82070.919000223599       -2.8436171572371591E-002  -6.1715453044085375E-004        5723           6           3
   86648.319003006414       -4.0215680661306406E-003  -2.8668133758767794E-002        7062           6           3
   104079.55501360368        2.8291850232939404E-002   1.4372072001650154E-002        1469           6           3
   104079.55501360368       -2.8291850232939404E-002   1.4372072001650154E-002        6277           6           3
   107323.13701557560       -2.8310956021743713E-002  -1.0745085965431266E-002        7190           6           3
   107985.57301597833        2.8516236881823389E-002  -8.5968522145779842E-003        1210           6           3
   107985.57301597833       -2.8516236881823389E-002  -8.5968522145779842E-003        6514           6           3
   111167.99101791307       -1.1661811547080812E-002  -2.8311043180479372E-002        7359           6           3
