 z     x     y     pID   elem_type  elem_sequence
   41.409000000001384        2.8703126413943427E-002   3.2720406596311960E-003          43           6           3
   41.409000000001384       -2.8703126413943427E-002   3.2720406596311960E-003        7643           6           3
   64.773000000002270       -4.5722374700513232E-003   2.8611697178848539E-002         141           6           3
   64.773000000002270        4.5722374700513232E-003   2.8611697178848539E-002        7525           6           3
   79.191000000002816        2.8516065801052745E-002   1.0057618798749895E-002         139           6           3
   79.191000000002816       -2.8516065801052745E-002   1.0057618798749895E-002        7523           6           3
   80.973000000002884        2.8596530427914258E-002  -2.7349456028868259E-003         183           6           3
   80.973000000002884       -2.8596530427914258E-002  -2.7349456028868259E-003        7475           6           3
   97.083000000003494        2.8296215372377673E-002   4.4043266047257331E-003         235           6           3
   97.083000000003494       -2.8296215372377673E-002   4.4043266047257331E-003        7429           6           3
   142.20899999998278        2.8596984760330669E-002  -1.8621253085423957E-003         520           6           3
   142.20899999998278       -2.8596984760330669E-002  -1.8621253085423957E-003        7136           6           3
   210.55499999987745       -5.3940178096164842E-003  -2.8483525622666393E-002        7084           6           3
   381.60900000001050       -1.1142020064209232E-003   2.8478622602561936E-002         597           6           3
   381.60900000001050        1.1142020064209232E-003   2.8478622602561936E-002        7083           6           3
   442.77300000010939        9.6268489616614938E-003  -2.8410858646015086E-002        6938           6           3
   446.30100000011510       -2.8503679994560483E-002  -2.3252028694796694E-003        7593           6           3
   460.75500000013847       -8.5934165700398898E-004   2.8354788810109270E-002         726           6           3
   460.75500000013847        8.5934165700398898E-004   2.8354788810109270E-002        6940           6           3
   511.17300000021999        1.4699216377534025E-003  -2.8604956664665983E-002        5951           6           3
   523.71900000024027        1.8162672402738684E-003   2.8453605889179875E-002         282           6           3
   525.57300000024327        2.8395259223233202E-002  -5.9274599702031471E-004           2           6           3
   527.30100000024606       -2.8338871047302053E-002  -1.0241947375892483E-002          13           6           3
   527.30100000024606        2.8338871047302053E-002  -1.0241947375892483E-002        7661           6           3
   530.73900000025162        7.4873428675553315E-003   2.8386706199805923E-002         530           6           3
   530.73900000025162       -7.4873428675553315E-003   2.8386706199805923E-002        7146           6           3
   536.40900000026079       -2.8700801268701542E-002   5.3006018100910301E-003          27           6           3
   536.40900000026079        2.8700801268701542E-002   5.3006018100910301E-003        7627           6           3
   656.88300000045558        2.8370633174545148E-002  -2.1838363465638312E-003        7559           6           3
   709.19100000054016       -2.8300299671786263E-002  -3.7500208245113465E-003          31           6           3
   709.19100000054016        2.8300299671786263E-002  -3.7500208245113465E-003        7631           6           3
   738.00900000058675        2.8656826850060376E-002   3.4177046789246189E-003        7387           6           3
   746.93700000060119       -2.8290715579715846E-002   1.0700720135460180E-002         240           6           3
   746.93700000060119        2.8290715579715846E-002   1.0700720135460180E-002        7434           6           3
   764.84700000063015        1.9619520683317786E-002  -2.8431660659982531E-002         531           6           3
   764.84700000063015       -1.9619520683317786E-002  -2.8431660659982531E-002        7147           6           3
   845.95500000076129       -2.8361184429219616E-002   9.4760512077055135E-003         729           6           3
   845.95500000076129        2.8361184429219616E-002   9.4760512077055135E-003        6943           6           3
   1130.3730000012210       -2.8596801471079437E-002   1.0291703165844279E-002        6936           6           3
   1135.7370000012297        2.8372572813939234E-002   3.7718841680217950E-004         725           6           3
   1135.7370000012297       -2.8372572813939234E-002   3.7718841680217950E-004        6939           6           3
   1160.9730000012705        2.8402478105840730E-002   1.5479210692036960E-003         182           6           3
   1160.9730000012705       -2.8402478105840730E-002   1.5479210692036960E-003        7474           6           3
   1223.9550000013724        2.8491490320584324E-002  -2.9127924965107444E-003         473           6           3
   1223.9550000013724       -2.8491490320584324E-002  -2.9127924965107444E-003        7215           6           3
   1276.1010000014567        2.8494447595613301E-002   1.4549208408788988E-002        6944           6           3
   1310.3190000015120       -2.0433688741906060E-003  -2.8637204403392347E-002         234           6           3
   1310.3190000015120        2.0433688741906060E-003  -2.8637204403392347E-002        7428           6           3
   1326.5010000015382       -2.8488651738704879E-002   3.2934484840133078E-003         457           6           3
   1326.5010000015382        2.8488651738704879E-002   3.2934484840133078E-003        7199           6           3
   1330.2090000015442        2.8483324450511244E-002  -1.2884806751758168E-002         532           6           3
   1330.2090000015442       -2.8483324450511244E-002  -1.2884806751758168E-002        7148           6           3
   1456.1550000017478        1.5497643815390635E-002  -2.8372126177034634E-002         297           6           3
   1486.7550000017973       -2.8479032384612912E-002  -1.2861231219472273E-002        5357           6           3
   1634.3910000020360        2.8364883974351891E-002  -4.9153747752701468E-003         599           6           3
   1634.3910000020360       -2.8364883974351891E-002  -4.9153747752701468E-003        7085           6           3
   1643.3730000020505        6.6386199416143847E-004   2.8582423166558135E-002        2706           6           3
   1643.3730000020505       -6.6386199416143847E-004   2.8582423166558135E-002        4954           6           3
   1661.4090000020797        2.8477390437241547E-002   1.8124211846159862E-003          59           6           3
   1706.3730000021524        2.8651785099683739E-002  -1.1266893172927292E-002         474           6           3
   1706.3730000021524       -2.8651785099683739E-002  -1.1266893172927292E-002        7216           6           3
